,Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
163,Jamaal Lascelles,NEW,SOU,D,95.0,0.01,0.01,0.55,0.01,0.23,25.44,32.13,0.15,0.02,1.75,0.02,0.20,0.76,0.75,0.27,0.49,3.16,0.26,1.37,0.00,0.10,0.19,0.07,0.00
164,Fabian Schar,NEW,SOU,D,95.0,0.01,0.01,0.55,0.01,0.23,25.44,32.13,0.15,0.02,1.75,0.02,0.20,0.76,0.75,0.27,0.49,3.16,0.26,1.37,0.00,0.10,0.19,0.07,0.00
165,Kalvin Phillips,LEE,BRN,M,95.0,0.01,0.01,0.46,0.11,0.48,24.83,29.16,0.84,0.13,0.41,0.49,0.33,0.40,1.13,0.69,0.03,0.29,0.26,1.35,0.00,0.58,0.61,0.02,0.00
166,Junior Firpo,LEE,BRN,D,95.0,0.01,0.01,0.46,0.11,0.48,35.32,41.65,1.20,0.13,0.59,0.49,0.33,0.76,1.49,0.69,0.03,0.29,0.26,1.35,0.00,0.76,0.79,0.02,0.00
167,Lucas Digne,EVE,BHA,D,95.0,0.01,0.01,0.38,0.02,1.10,14.59,20.28,3.61,1.00,1.14,0.46,0.39,0.76,0.89,0.83,0.11,1.24,0.28,1.31,0.00,0.79,1.32,0.17,0.00
168,Luke Shaw,MUN,WOL,D,95.0,0.01,0.01,0.22,0.02,0.79,19.73,24.48,2.03,0.68,0.43,0.14,0.71,0.76,0.65,0.43,0.35,0.77,0.38,0.99,0.00,0.87,0.68,0.17,0.00
169,Japhet Tanganga,TOT,WAT,D,95.0,0.01,0.01,0.14,0.01,0.18,22.44,26.44,1.32,0.34,1.19,0.18,0.33,1.05,1.19,0.76,0.62,1.67,0.48,0.76,0.00,0.39,1.33,0.26,0.00
170,Matthew Lowton,BRN,LEE,D,95.0,0.01,0.01,0.14,0.01,0.49,13.97,18.70,1.47,0.10,0.54,0.50,0.25,0.87,1.02,0.67,0.05,0.82,0.21,1.55,0.00,0.23,0.42,0.10,0.00
171,Adam Masina,WAT,TOT,D,95.0,0.01,0.01,0.06,0.02,0.31,13.32,17.99,0.68,0.13,1.06,0.38,0.23,0.29,0.65,0.43,0.19,1.48,0.12,1.96,0.00,0.08,0.60,0.01,0.00
172,Joachim Andersen,CRY,WHU,D,95.0,0.01,0.00,0.40,0.02,0.13,52.32,60.53,0.04,0.00,1.36,0.18,0.46,0.94,0.44,0.25,0.64,3.19,0.15,1.84,0.00,0.31,0.54,0.19,0.00
