web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
"1623004963-69","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcus Rashford","England","Angreb","5.000.000","12,6%"
"1623004963-11","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Bruno Fernandes","Portugal","Midtbane","7.500.000","3,6%"
"1623004963-449","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Arijan Ademi","Nordmakedonien","Midtbane","2.500.000","0,1%"
"1623004963-328","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Michal Helik","Polen","Forsvar","3.000.000","0,2%"
"1623004963-359","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mattias Svanberg","Sverige","Midtbane","3.000.000","0,1%"
"1623004963-573","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Przemyslaw Frankowski","Polen","Midtbane","2.000.000","0,2%"
"1623004963-100","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ruben Dias","Portugal","Forsvar","4.500.000","7,1%"
"1623004963-28","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ferran Torres","Spanien","Angreb","6.000.000","6,1%"
"1623004963-621","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Tom Lockyer","Wales","Forsvar","2.000.000","0,1%"
"1623004963-272","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Cesar Azpilicueta","Spanien","Forsvar","3.500.000","1,4%"
"1623004963-223","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Domenico Berardi","Italien","Angreb","3.500.000","1,9%"
"1623004963-413","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Karim Onisiwo","Østrig","Angreb","2.500.000","0,1%"
"1623004963-20","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Alvaro Morata","Spanien","Angreb","6.500.000","2,6%"
"1623004963-191","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Dennis Praet","Belgien","Midtbane","3.500.000","0,3%"
"1623004963-127","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Simon Kjær","Danmark","Forsvar","4.000.000","14,2%"
"1623004963-282","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Altay Bayindir","Tyrkiet","Mål","3.500.000","0,0%"
"1623004963-221","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Lorenzo Pellegrini","Italien","Midtbane","3.500.000","1,1%"
"1623004963-128","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Thomas Delaney","Danmark","Midtbane","4.000.000","6,4%"
"1623004963-144","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Leonardo Bonucci","Italien","Forsvar","4.000.000","6,6%"
"1623004963-97","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marco Bizot","Holland","Mål","4.500.000","0,1%"
"1623004963-10","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Robert Lewandowski","Polen","Angreb","7.500.000","8,2%"
"1623004963-392","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Martin Hinteregger","Østrig","Forsvar","3.000.000","0,6%"
"1623004963-415","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Duje Caleta-Car","Kroatien","Forsvar","2.500.000","0,7%"
"1623004963-557","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","John Fleck","Skotland","Midtbane","2.000.000","0,2%"
"1623004963-218","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Alessandro Bastoni","Italien","Forsvar","3.500.000","1,2%"
"1623004963-281","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mert Günok","Tyrkiet","Mål","3.500.000","0,1%"
