web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
1624189734-2450,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Leonardo Bonucci,Nordmakedonien,Forsvar,1.990.000,"0,0%"
1624189734-1965,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Giorgio Chiellini,Holland,Angreb,4.490.000,"0,4%"
1624189734-1929,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Francesco Acerbi,Belgien,Mål,4.990.000,"0,0%"
1624189734-2294,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Bryan Cristante,Italien,Midtbane,2.537.000,"0,4%"
1624189734-1901,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Giacomo Raspadori,Belgien,Angreb,5.490.000,"0,2%"
1624189734-2230,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new, Aaron  Ramsdale,Tyskland,Midtbane,2.990.000,"0,2%"
1624189734-2383,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Sam  Johnstone ,Ungarn,Midtbane,2.463.000,"0,0%"
1624189734-1896,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Giovanni Di Lorenzo,Holland,Angreb,5.564.000,"1,3%"
1624189734-2249,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Alessandro Bastoni,Polen,Midtbane,2.986.000,"0,3%"
1624189734-2305,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Andreas Christensen,Finland,Angreb,2.527.000,"0,1%"
1624189734-2328,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Kasper Schmeichel,Nordmakedonien,Mål,2.490.000,"0,2%"
1624189734-2261,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Joachim Andersen,Tyrkiet,Midtbane,2.968.000,"0,1%"
1624189734-2072,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jannik Vestergaard,Skotland,Forsvar,3.548.000,"1,0%"
1624189734-2233,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Rafael Toloi,Skotland,Mål,2.990.000,"0,0%"
1624189734-2420,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Gaetano Castrovilli,Polen,Midtbane,2.004.000,"0,1%"
1624189734-1995,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Robert Sánchez,Belgien,Forsvar,4.074.000,"0,6%"
1624189734-1902,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Simon Kjaer,Frankrig,Mål,5.490.000,"0,1%"
1624189734-1869,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Anders  Christiansen ,Polen,Angreb,7.605.000,"4,8%"
1624189734-2030,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Christian  Nørgaard,Spanien,Forsvar,3.990.000,"0,5%"
1624189734-2471,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Joakim Maehle,Østrig,Midtbane,1.987.000,"5,3%"
1624189734-1954,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jonas Lössl,Belgien,Angreb,4.490.000,"0,1%"
1624189734-2374,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jens Stryger Larsen,Rusland,Midtbane,2.479.000,"0,3%"
1624189734-1897,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Nicolai  Boilesen,Tyskland,Angreb,5.550.000,"7,9%"
1624189734-1874,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Mathias  Jørgensen ,Frankrig,Angreb,7.171.000,"4,1%"
1624189734-2394,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Robert Skov,Finland,Forsvar,2.126.000,"0,1%"
